wikipedia_title,wikipedia_url,question_original,question,question_type,answer,evidence,evidence_section_id,evidence_section_title,dataset_name,dataset_category_id,wikipedia_url_used_in_train,encyclopedic_vqa_split,dataset_image_ids,data_id
Edificio España,https://en.wikipedia.org/wiki/Edificio_Espa%C3%B1a,How many levels does this building have?,How many levels does this building have?,Numerical,27,0,0,0,infoseek,0,0,0,oven_04958423,infoseek_val_00000019
Galerie Vivienne,https://en.wikipedia.org/wiki/Galerie_Vivienne,In which year did this building officially open?,In which year did this building officially open?,Time,1826,0,0,0,infoseek,0,0,0,oven_04955767,infoseek_val_00000023
Lloyd's building,https://en.wikipedia.org/wiki/Lloyd%27s_building,Whom was this building officially opened by?,Whom was this building officially opened by?,String,Elizabeth II,0,0,0,infoseek,0,0,0,oven_04955437,infoseek_val_00000061
Pasta,https://en.wikipedia.org/wiki/Pasta,What is the course type of this food?,What is the course type of this food?,String,first course,0,0,0,infoseek,0,0,0,oven_05002717,infoseek_val_00000106
Variometer,https://en.wikipedia.org/wiki/Variometer,In which year was this object invented or discovered?,In which year was this object invented or discovered?,Time,1929,0,0,0,infoseek,0,0,0,oven_04998454,infoseek_val_00000122
Sewu,https://en.wikipedia.org/wiki/Sewu,What is the location of this building?,What is the location of this building?,String,Klaten|Central Java,0,0,0,infoseek,0,0,0,oven_04952974,infoseek_val_00000137
Plains leopard frog,https://en.wikipedia.org/wiki/Plains_leopard_frog,What is the closest upper taxonomy of this animal?,What is the closest upper taxonomy of this animal?,String,Lithobates,0,0,0,infoseek,0,0,0,oven_04967801,infoseek_val_00000142
Lloyd's building,https://en.wikipedia.org/wiki/Lloyd%27s_building,On what date did this building officially open?,On what date did this building officially open?,Time,1986 11 18,0,0,0,infoseek,0,0,0,oven_04955439,infoseek_val_00000163
Rye,https://en.wikipedia.org/wiki/Rye,What is the closest parent taxonomy of this plant?,What is the closest parent taxonomy of this plant?,String,Secale,0,0,0,infoseek,0,0,0,oven_05003178,infoseek_val_00000174
Coprosma lucida,https://en.wikipedia.org/wiki/Coprosma_lucida,Which place is this plant endemic to?,Which place is this plant endemic to?,String,New Zealand,0,0,0,infoseek,0,0,0,oven_04962958,infoseek_val_00000221
De Havilland,https://en.wikipedia.org/wiki/De_Havilland,What is the parent organization of this aircraft?,What is the parent organization of this aircraft?,String,Hawker Siddeley,0,0,0,infoseek,0,0,0,oven_04950475,infoseek_val_00000232
Dahlia 'Bishop of Llandaff',https://en.wikipedia.org/wiki/Dahlia_%27Bishop_of_Llandaff%27,What is the height of this plant in metre?,What is the height of this plant in metre?,Numerical,1.1,0,0,0,infoseek,0,0,0,oven_04959050,infoseek_val_00000241
St. Peter's Basilica,https://en.wikipedia.org/wiki/St._Peter%27s_Basilica,What is the length of this building in metre?,What is the length of this building in metre?,Numerical,220,0,0,0,infoseek,0,0,0,oven_04957803,infoseek_val_00000253
"Albert Bridge, London","https://en.wikipedia.org/wiki/Albert_Bridge,_London",What is the location of this bridge?,What is the location of this bridge?,String,Battersea,0,0,0,infoseek,0,0,0,oven_04957629,infoseek_val_00000256
Kākā,https://en.wikipedia.org/wiki/New_Zealand_kaka,"What is the conservation status of this bird? (The status is assigned by the international union for conservation of nature. Choose one among Endangered,Least Concern,Critically Endangered,extinct species,extinct in the wild,Vulnerable,Near Threatened,Data Deficient)","What is the conservation status of this bird? (The status is assigned by the international union for conservation of nature. Choose one among Endangered,Least Concern,Critically Endangered,extinct species,extinct in the wild,Vulnerable,Near Threatened,Data Deficient)",String,Endangered,0,0,0,infoseek,0,0,0,oven_04962483,infoseek_val_00000263
Nizhny Novgorod Kremlin,https://en.wikipedia.org/wiki/Nizhny_Novgorod_Kremlin,What is the location of this building?,What is the location of this building?,String,Nizhny Novgorod,0,0,0,infoseek,0,0,0,oven_04958190,infoseek_val_00000334
Kessock Bridge,https://en.wikipedia.org/wiki/Kessock_Bridge,What is the length of this bridge in metre?,What is the length of this bridge in metre?,Numerical,1056,0,0,0,infoseek,0,0,0,oven_04956102,infoseek_val_00000342
Kohekohe,https://en.wikipedia.org/wiki/Kohekohe,What is the closest parent taxonomy of this plant?,What is the closest parent taxonomy of this plant?,String,Dysoxylum,0,0,0,infoseek,0,0,0,oven_04962537,infoseek_val_00000356
Lake Lucerne,https://en.wikipedia.org/wiki/Lake_Lucerne,What is the height of this lake in terms of metre above sea level?,What is the height of this lake in terms of metre above sea level?,Numerical,434,0,0,0,infoseek,0,0,0,oven_04955079,infoseek_val_00000357
Mayonnaise,https://en.wikipedia.org/wiki/Mayonnaise,What is this food named after?,What is this food named after?,String,Mahon,0,0,0,infoseek,0,0,0,oven_05002457,infoseek_val_00000360
Bren light machine gun,https://en.wikipedia.org/wiki/Bren_light_machine_gun,the equipment in the image participated in which conflict?,the equipment in the image participated in which conflict?,String,World War II|Korean War,0,0,0,infoseek,0,0,0,oven_04984365,infoseek_val_00000364
Brazil nut,https://en.wikipedia.org/wiki/Brazil_nut,Which geographic area is this plant found?,Which geographic area is this plant found?,String,Brazil,0,0,0,infoseek,0,0,0,oven_05002077,infoseek_val_00000365
Hotel del Coronado,https://en.wikipedia.org/wiki/Hotel_del_Coronado,In which year did this building officially open?,In which year did this building officially open?,Time,1888,0,0,0,infoseek,0,0,0,oven_04956616,infoseek_val_00000402
Cathedral of Talin,https://en.wikipedia.org/wiki/Cathedral_of_Talin,What country does this building belong to?,What country does this building belong to?,String,Armenia,0,0,0,infoseek,0,0,0,oven_04955894,infoseek_val_00000410
Dead Sea,https://en.wikipedia.org/wiki/Dead_Sea,What is the length of this lake in kilometre?,What is the length of this lake in kilometre?,Numerical,67,0,0,0,infoseek,0,0,0,oven_04957496,infoseek_val_00000444
Mill Colonnade,https://en.wikipedia.org/wiki/Mill_Colonnade,What country does this place belong to?,What country does this place belong to?,String,Czech Republic,0,0,0,infoseek,0,0,0,oven_04955132,infoseek_val_00000475
Serra dos Órgãos,https://en.wikipedia.org/wiki/Serra_dos_%C3%93rg%C3%A3os,What country does this mountain belong to?,What country does this mountain belong to?,String,Brazil,0,0,0,infoseek,0,0,0,oven_04953861,infoseek_val_00000488
Northern fulmar,https://en.wikipedia.org/wiki/Northern_fulmar,"What is the conservation status of this bird? (The status is assigned by the international union for conservation of nature. Choose one among Endangered,Least Concern,Critically Endangered,extinct species,extinct in the wild,Vulnerable,Near Threatened,Data Deficient)","What is the conservation status of this bird? (The status is assigned by the international union for conservation of nature. Choose one among Endangered,Least Concern,Critically Endangered,extinct species,extinct in the wild,Vulnerable,Near Threatened,Data Deficient)",String,Least Concern,0,0,0,infoseek,0,0,0,oven_04967237,infoseek_val_00000516
Place de la Concorde,https://en.wikipedia.org/wiki/Place_de_la_Concorde,What is the location of this building?,What is the location of this building?,String,8th arrondissement of Paris,0,0,0,infoseek,0,0,0,oven_04956340,infoseek_val_00000536
Alpaca,https://en.wikipedia.org/wiki/Alpaca,What is the closest upper taxonomy of this animal?,What is the closest upper taxonomy of this animal?,String,Vicugna,0,0,0,infoseek,0,0,0,oven_04981566,infoseek_val_00000540
Amrum Lighthouse,https://en.wikipedia.org/wiki/Amrum_Lighthouse,Which body of water is this building located in or next to?,Which body of water is this building located in or next to?,String,North Sea,0,0,0,infoseek,0,0,0,oven_04957671,infoseek_val_00000589
United States Botanic Garden,https://en.wikipedia.org/wiki/United_States_Botanic_Garden,What is the location of this garden?,What is the location of this garden?,String,National Mall|Southwest,0,0,0,infoseek,0,0,0,oven_04953788,infoseek_val_00000599
Wood sandpiper,https://en.wikipedia.org/wiki/Wood_sandpiper,"What is the conservation status of this bird? (The status is assigned by the international union for conservation of nature. Choose one among Endangered,Least Concern,Critically Endangered,extinct species,extinct in the wild,Vulnerable,Near Threatened,Data Deficient)","What is the conservation status of this bird? (The status is assigned by the international union for conservation of nature. Choose one among Endangered,Least Concern,Critically Endangered,extinct species,extinct in the wild,Vulnerable,Near Threatened,Data Deficient)",String,Least Concern,0,0,0,infoseek,0,0,0,oven_04968084,infoseek_val_00000621
Blyde River Canyon,https://en.wikipedia.org/wiki/Blyde_River_Canyon,What country does this place belong to?,What country does this place belong to?,String,South Africa,0,0,0,infoseek,0,0,0,oven_04951031,infoseek_val_00000667
White-bellied sea eagle,https://en.wikipedia.org/wiki/White-bellied_sea_eagle,How many offspring can this bird produce at the same time?,How many offspring can this bird produce at the same time?,Numerical,2,0,0,0,infoseek,0,0,0,oven_04962196,infoseek_val_00000684
Nervi,https://en.wikipedia.org/wiki/Nervi,Which city or region does this place locate in?,Which city or region does this place locate in?,String,Genoa,0,0,0,infoseek,0,0,0,oven_04951526,infoseek_val_00000729
Gray fox,https://en.wikipedia.org/wiki/Gray_fox,How many offspring can this animal produce at the same time?,How many offspring can this animal produce at the same time?,Numerical,3.8,0,0,0,infoseek,0,0,0,oven_04972324,infoseek_val_00000783
"Albert Bridge, London","https://en.wikipedia.org/wiki/Albert_Bridge,_London",What is the length in metre is the bridge in the image?,What is the length in metre is the bridge in the image?,Numerical,217,0,0,0,infoseek,0,0,0,oven_04957625,infoseek_val_00000834
Stylophorum diphyllum,https://en.wikipedia.org/wiki/Stylophorum_diphyllum,What is the closest parent taxonomy of this plant?,What is the closest parent taxonomy of this plant?,String,Stylophorum,0,0,0,infoseek,0,0,0,oven_04966162,infoseek_val_00000853
