data_id,wikipedia_title,wikipedia_url,question_type,encyclopedic_vqa_split,dataset_image_ids,question_before_review,question,answer,evidence,evidence_section_id,evidence_section_title,final_check_reason,dataset_name
E-VQA_0,Scupi,https://en.wikipedia.org/wiki/Scupi,templated,test,ae67170774ef5750,When were the first excavations in this area?,In what year were the first excavations in this area?,1925,"Radoslav Gruić discovered the early Christian basilica in 1925 and the most important discovery was made by Nikola Vulić, a Serbian archeologist, when he found the ancient Macedonian theater.",2,Excavations,"The question is clear, does not leak the answer, and can be answered directly from the evidence which explicitly mentions the year 1925 in relation to the discovery/excavation.",landmarks
E-VQA_1,Smilax bona-nox,https://en.wikipedia.org/wiki/Smilax_bona-nox,templated,test,2715027,What kind of medical usage has this plant?,What medical uses does this plant have?,help urinary tract infections and as an antioxidant.,The roots of this plant are known to help urinary tract infections and as an antioxidant.,4,Ethnobotany|Ethnobotany|Ethnobotany,"The question 'What medical uses does this plant have for urinary tract infections and as an antioxidant?' contains the exact answer phrases 'urinary tract infections' and 'as an antioxidant', which appear verbatim in the expected answer. This leaks the answer content, making it too easy for a model to match without properly understanding the evidence.",inaturalist
E-VQA_2,Cornus suecica,https://en.wikipedia.org/wiki/Cornus_suecica,templated,test,2717719,In which country or region does this plant grow?,In which regions does this plant grow?,"Europe, Asia and North America","native to cool temperate and subarctic regions of Europe and Asia, and also locally in extreme northeastern and northwestern North America.",0,Cornus suecica|Cornus suecica|Cornus suecica,"The question asks for continents, but the evidence provides regions (Europe, Asia, North America) which are not all continents. This mismatch could confuse retrieval.",inaturalist
E-VQA_3,Cornus suecica,https://en.wikipedia.org/wiki/Cornus_suecica,templated,test,2774841,How big can this plant become?,How tall can this plant become?,20 cm,Dwarf cornel is a rhizomatous herbaceous perennial growing to 20 cm (8 inches) tall,1,Description|Description|Description,"QUESTION_USED is clear, does not leak the answer, and matches the evidence which provides height information.",inaturalist
E-VQA_4,Cornus suecica,https://en.wikipedia.org/wiki/Cornus_suecica,templated,test,2774841,How do the of this plant seeds spread?,How do the seeds of this plant spread?,by cross-pollination,they can hybridize by cross-pollination,2,Habitat and range|Habitat and range,"The question 'How do the seeds of this plant spread via cross-pollination?' contains the answer 'via cross-pollination' verbatim, which directly leaks the expected answer.",inaturalist
E-VQA_5,Echinochloa crus-galli,https://en.wikipedia.org/wiki/Echinochloa_crus-galli,templated,test,2780618,What kind of medical usage has this plant?,What are the medical benefits of this plant?,lowers blood sugar and cholesterol,Rural Development Administration of South Korean government discovered barnyard grass effectively lowers blood sugar and cholesterol when consumed,4,Usage|Usage|Usage,"The question 'What medical conditions or symptoms does this plant treat?' directly includes the word 'treat', which is semantically close to the expected answer's action of 'lowers' (blood sugar and cholesterol). This could lead the model to infer the answer from the question phrasing rather than requiring evidence retrieval.",inaturalist
E-VQA_6,Cardisoma guanhumi,https://en.wikipedia.org/wiki/Cardisoma_guanhumi,templated,test,2768002,How long does this animal take care of its children?,How long does this animal take care of its children?,approximately 2 weeks,After approximately 2 weeks the eggs will hatch and must be released into saltwater for the larvae to survive.,5,Life cycle|Life cycle,"The question 'How long does this animal take care of its children after they hatch?' contains the phrase 'after they hatch', which directly mirrors the evidence 'After approximately 2 weeks the eggs will hatch'. This creates a strong clue that the answer involves a time period following hatching, potentially leaking the temporal context needed to find the answer in the evidence.",inaturalist
E-VQA_7,Patiriella regularis,https://en.wikipedia.org/wiki/Patiriella_regularis,templated,test,2735662,In which part of the world does this animal live?,In which region or country is this animal native?,New Zealand,"Patiriella regularis, or New Zealand common cushion star, is a sea star of the family Asterinidae, native to New Zealand",0,Patiriella regularis|Patiriella regularis|Patiriella regularis,"The question asks 'In which country does this animal live?' but the evidence states the animal is 'native to New Zealand', which is a country. However, the original question intent was 'In which part of the world does this animal live?' which is broader. The current question is too specific and may not align with the original intent if the evidence only provides a country rather than a broader region.",inaturalist
E-VQA_8,Patiriella regularis,https://en.wikipedia.org/wiki/Patiriella_regularis,templated,test,2718803,How long does this animal take care of its children?,How long does this animal care for its children after birth?,9–10 weeks,"Once fertilised, 9–10 weeks are needed for them to grow from larvae.",0,Patiriella regularis,"The evidence mentions '9–10 weeks are needed for them to grow from larvae,' which refers to the growth period from larvae, not the duration of parental care after birth. The question asks about care duration after birth, but the evidence does not provide information about parental care timelines.",inaturalist
E-VQA_9,Henricia leviuscula,https://en.wikipedia.org/wiki/Henricia_leviuscula,templated,test,2687235,What is the common name for this animal?,What is the common name for this animal?,Pacific blood star,"Henricia leviuscula, commonly called the Pacific blood star,",0,Henricia leviuscula|Henricia leviuscula|Henricia leviuscula,skipped_q_clear,inaturalist
E-VQA_10,Henricia leviuscula,https://en.wikipedia.org/wiki/Henricia_leviuscula,templated,test,2778308,In which part of the world does this animal live?,In which part of the world does this animal live?,North America,"Henricia leviuscula, commonly called the Pacific blood star, it is a species of sea star found along the Pacific coast of North America.",0,Henricia leviuscula|Henricia leviuscula|Henricia leviuscula,"The question 'In which region of North America does this animal live?' contains the expected answer 'North America' verbatim, which leaks the answer to the model.",inaturalist
E-VQA_11,Henricia leviuscula,https://en.wikipedia.org/wiki/Henricia_leviuscula,templated,test,2721045,What does this animal eat?,What does this animal eat?,sponges and small bacteria,They mainly feed on sponges and small bacteria,7,Trophic strategy|Trophic strategy|Trophic strategy,skipped_q_clear,inaturalist
E-VQA_12,Henricia leviuscula,https://en.wikipedia.org/wiki/Henricia_leviuscula,templated,test,2703023,How big is an adult of this animal?,What is the diameter of an adult of this animal?,over 8 cm,The species is relatively small; the diameter is usually over 8 cm and rarely gets larger than 12 cm,1,Description|Description|Description,"The question asks for 'length' but the evidence provides 'diameter', creating ambiguity about which dimension is being referenced. The question should align with the evidence terminology to help retrieve the correct answer.",inaturalist
E-VQA_13,Henricia leviuscula,https://en.wikipedia.org/wiki/Henricia_leviuscula,templated,test,2778308,What is a common parasite for this animal?,What is a common parasite for this animal?,Arctonoe vittata.,"They often have a commensal scaleworm, Arctonoe vittata.",5,Habitat|Habitat|Habitat,skipped_q_clear,inaturalist
E-VQA_14,Scolopendra polymorpha,https://en.wikipedia.org/wiki/Scolopendra_polymorpha,templated,test,2763873,What is the common name for this animal?,What is the common name for this animal?,"common desert centipede, tiger centipede, banded desert centipede, or Sonoran Desert centipede","Scolopendra polymorpha, the common desert centipede, tiger centipede, banded desert centipede, or Sonoran Desert centipede, is indigenous to the Southwestern United States",0,Scolopendra polymorpha|Scolopendra polymorpha|Scolopendra polymorpha,skipped_q_clear,inaturalist
E-VQA_15,Scolopendra polymorpha,https://en.wikipedia.org/wiki/Scolopendra_polymorpha,templated,test,2763873,In which part of the world does this animal live?,In which region of the world does this animal live?,Southwestern United States and northern Mexico,"Sonoran Desert centipede, is indigenous to the Southwestern United States and northern Mexico, north to the Pacific coast.",0,Scolopendra polymorpha|Scolopendra polymorpha|Scolopendra polymorpha,"The question is clear, does not leak the answer, and directly targets the information present in the evidence.",inaturalist
E-VQA_16,Scolopendra polymorpha,https://en.wikipedia.org/wiki/Scolopendra_polymorpha,templated,test,2698987,Is this animal edible?,Is this animal edible?,No,The venom of Scolopendra polymorpha has been found to be medically relevant,1,Venom,skipped_q_clear,inaturalist
E-VQA_17,Scolopendra polymorpha,https://en.wikipedia.org/wiki/Scolopendra_polymorpha,templated,test,2686981,How big is an adult of this animal?,How big is an adult of this animal?,4–7 in,Their bodies generally reach 4–7 in (10–18 cm) in length,0,Scolopendra polymorpha|Scolopendra polymorpha|Scolopendra polymorpha,"The question 'What is the length of an adult of this animal?' directly contains the word 'length', which appears verbatim in the evidence that provides the answer ('4–7 in (10–18 cm) in length'). This could allow a model to locate the answer without understanding the context, as the question explicitly signals the key term from the evidence.",inaturalist
E-VQA_18,Emerita talpoida,https://en.wikipedia.org/wiki/Emerita_talpoida,templated,test,2755111,What is the common name for this animal?,What is the common name for this animal?,Atlantic mole crab or Atlantic sand crab,"Emerita talpoida, known generally as the Atlantic mole crab or Atlantic sand crab,",0,Emerita talpoida|Emerita talpoida|Emerita talpoida,skipped_q_clear,inaturalist
E-VQA_19,Ovalipes ocellatus,https://en.wikipedia.org/wiki/Ovalipes_ocellatus,templated,test,2705836,What does this animal eat?,What does this animal eat?,molluscs,"It feeds mostly on molluscs, particularly the Atlantic surf clam Spisula solidissima",5,Ecology|Ecology,skipped_q_clear,inaturalist
E-VQA_20,Ovalipes ocellatus,https://en.wikipedia.org/wiki/Ovalipes_ocellatus,templated,test,2767274,How big is an adult of this animal?,What are the dimensions of an adult of this animal?,"8.9 centimetres wide,7.5 cm long","The carapace of O. ocellatus is slightly wider than long, at 8.9 centimetres (3.5 in) wide, and 7.5 cm (3.0 in) long",2,Description|Description|Description,"The question 'What is the width and length of an adult of this animal?' contains the exact terms 'width' and 'length' that appear verbatim in the expected answer ('8.9 centimetres wide, 7.5 cm long'), which could allow a model to guess the answer without properly understanding the evidence.",inaturalist
E-VQA_21,Echinometra mathaei,https://en.wikipedia.org/wiki/Echinometra_mathaei,templated,test,2689345,In which part of the world does this animal live?,In which part of the world does this animal live?,Indo-Pacific region,It occurs in shallow waters in the Indo-Pacific region.,0,Echinometra mathaei|Echinometra mathaei|Echinometra mathaei,"The question uses 'region' which appears verbatim in the expected answer 'Indo-Pacific region', creating a direct lexical overlap that could leak the answer.",inaturalist
E-VQA_22,Guinusia chabrus,https://en.wikipedia.org/wiki/Guinusia_chabrus,templated,test,2692662,In which part of the world does this animal live?,In which part of the world does this animal live?,"southern Indian and southern Pacific Oceans,","It is found in the southern Indian and southern Pacific Oceans, including South Africa, Australia, New Zealand, and Chile.",0,Guinusia chabrus|Guinusia chabrus|Guinusia chabrus,"The question 'In which ocean regions does this animal live?' contains the phrase 'ocean regions', which directly matches and anticipates the answer format 'southern Indian and southern Pacific Oceans,' effectively leaking the answer type and narrowing the scope to oceans, making it too leading.",inaturalist
E-VQA_23,Xeromphalina campanella,https://en.wikipedia.org/wiki/Xeromphalina_campanella,templated,test,2763121,What is the typical size of this fungi?,What is the typical diameter of this fungi?,5–2 cm,"The fruit body of X. campanella has a small umbrella-shaped cap, about .5–2 cm wide",1,Description|Description|Description,"The question is clear, does not leak the answer, and directly targets the evidence about the cap width, which corresponds to the expected answer.",inaturalist
E-VQA_24,Ganoderma brownii,https://en.wikipedia.org/wiki/Ganoderma_brownii,templated,test,2697854,On what does this fungi typically grow?,On what does this fungus typically grow?,conifers and hardwoods,"It parasitizes both conifers and hardwoods, with a preference for the latter.",2,Description|Description|Description,"The question 'On what type of trees does this fungus typically grow?' contains the answer 'trees', which is a direct category of the expected answer 'conifers and hardwoods'. This leaks part of the answer structure and narrows the answer space prematurely.",inaturalist
E-VQA_25,Ganoderma brownii,https://en.wikipedia.org/wiki/Ganoderma_brownii,templated,test,2695109,What is the typical size of this fungi?,What is the typical size of this fungi?,5–65 cm,"It is a perennial, sessile, concentrically zonate polypore that is 5–65 cm (2.0–25.6 in) in length",2,Description|Description|Description,"The question 'What is the typical diameter of this fungi?' contains the word 'diameter', which is not mentioned in the evidence. The evidence provides length measurements (5–65 cm), not diameter. Using 'diameter' in the question could mislead or confuse the model since the evidence does not specify diameter.",inaturalist
E-VQA_26,Ganoderma brownii,https://en.wikipedia.org/wiki/Ganoderma_brownii,templated,test,2754845,With which other fungus is this fungus often confused?,With which other fungus is this fungus often confused?,Ganoderma applanatum,It is a plant pathogen and occasional saprotroph similar in appearance to Ganoderma applanatum.,0,Ganoderma brownii|Ganoderma brownii|Ganoderma brownii,skipped_q_clear,inaturalist
E-VQA_27,Bulgaria inquinans,https://en.wikipedia.org/wiki/Bulgaria_inquinans,templated,test,2767158,Is this fungus edible?,Is this fungus edible?,No,The species is inedible,1,Description|Description|Description,skipped_q_clear,inaturalist
E-VQA_28,Bulgaria inquinans,https://en.wikipedia.org/wiki/Bulgaria_inquinans,templated,test,2724915,On what does this fungi typically grow?,On what type of substrate does this fungus typically grow in its natural habitat?,oak and hornbeam,It grows on branches and bark of dead oak and hornbeam,0,Bulgaria inquinans|Bulgaria inquinans|Bulgaria inquinans,"The question is clear, does not leak the answer, and directly guides retrieval to the relevant evidence.",inaturalist
E-VQA_29,Bulgaria inquinans,https://en.wikipedia.org/wiki/Bulgaria_inquinans,templated,test,2773102,What is the typical size of this fungi?,What is the typical diameter of this fungi?,0.5 and 4 cm,The cap of Bulgaria inquinans generally has a diameter between 0.5 and 4 cm (0.19 in to 1.6 in),1,Description|Description|Description,"The question is clear, specific, and helps retrieve the answer from the evidence without leaking the answer. The evidence directly supports the expected answer.",inaturalist
E-VQA_30,Xanthoria parietina,https://en.wikipedia.org/wiki/Xanthoria_parietina,templated,test,2765974,Which animals eat this fungus?,Which animals eat this fungus?,snail,The lichen is used as a food source and shelter for the snail Balea perversa.,5,Habitat and distribution|Habitat and distribution|Habitat and distribution,skipped_q_clear,inaturalist
E-VQA_31,Lactarius alnicola,https://en.wikipedia.org/wiki/Lactarius_alnicola,templated,test,2735879,Is this fungus edible?,Is this fungus edible?,No,The mushroom is considered inedible because of the intensely peppery taste.,2,Description|Description|Description,skipped_q_clear,inaturalist
E-VQA_32,Lactarius alnicola,https://en.wikipedia.org/wiki/Lactarius_alnicola,templated,test,2733430,On what does this fungi typically grow?,On what does this fungus typically grow?,coniferous trees,it grows in mycorrhizal associations with various coniferous trees species,0,Lactarius alnicola|Lactarius alnicola|Lactarius alnicola,"The question specifies 'in temperate forests' but the evidence does not mention this habitat, making the question more restrictive than the evidence supports.",inaturalist
E-VQA_33,Lactarius alnicola,https://en.wikipedia.org/wiki/Lactarius_alnicola,templated,test,2732415,With which other fungus is this fungus often confused?,With which other fungus is this fungus often confused?,L. alnicola,Mature fruit bodies of L. scrobiculatus var. montanus have been confused with L. alnicola.,5,Similar species|Similar species|Similar species,skipped_q_clear,inaturalist
E-VQA_34,Zale lunata,https://en.wikipedia.org/wiki/Zale_lunata,templated,test,2735283,What is the wingspan of this insect in mm?,What is the wingspan of this insect in mm?,40–55 mm,The wingspan is 40–55 mm,0,Zale lunata|Zale lunata|Zale lunata,skipped_q_clear,inaturalist
E-VQA_35,Bombus perplexus,https://en.wikipedia.org/wiki/Bombus_perplexus,templated,test,2720872,What does this insect eat?,What does this insect feed on?,plants,"It feeds on many kinds of plants, such as bellflowers, thistles, honeysuckles, penstemons, pickerel weeds, and lindens",0,Bombus perplexus|Bombus perplexus|Bombus perplexus,"The question 'What types of plants does this insect eat?' contains the word 'plants', which is the exact expected answer. This leaks the answer to the model.",inaturalist
E-VQA_36,Dryadula phaetusa,https://en.wikipedia.org/wiki/Dryadula_phaetusa,templated,test,2775076,What is the wingspan of this insect in mm?,What is the wingspan of this insect in mm?,86 to 89 mm,Its wingspan ranges from 86 to 89 mm,0,Dryadula phaetusa|Dryadula phaetusa|Dryadula phaetusa,skipped_q_clear,inaturalist
E-VQA_37,Dryadula phaetusa,https://en.wikipedia.org/wiki/Dryadula_phaetusa,templated,test,2729965,What does this insect eat?,What does this insect eat?,"nectar, bird droppings",It feeds primarily on the nectar of flowers and on bird droppings,0,Dryadula phaetusa|Dryadula phaetusa|Dryadula phaetusa,skipped_q_clear,inaturalist
E-VQA_38,Dryadula phaetusa,https://en.wikipedia.org/wiki/Dryadula_phaetusa,templated,test,2690075,In which country or region does this insect live?,In which country or region does this insect live?,Brazil to central Mexico,"orange tiger, is native from Brazil to central Mexico",0,Dryadula phaetusa|Dryadula phaetusa|Dryadula phaetusa,"The question 'In which country or region within the Neotropical zone does this insect live?' contains the phrase 'Neotropical zone', which is a near-verbatim match to the expected answer 'Brazil to central Mexico' (both refer to the Neotropical region). This leaks the geographic scope of the answer.",inaturalist
E-VQA_39,Dryadula phaetusa,https://en.wikipedia.org/wiki/Dryadula_phaetusa,templated,test,2774395,Where is this insect native?,Where is this insect native?,Brazil to central Mexico,"orange tiger, is native from Brazil to central Mexico",0,Dryadula phaetusa|Dryadula phaetusa|Dryadula phaetusa,"The question 'Where in the Americas is this insect native?' contains the phrase 'in the Americas', which directly appears in the expected answer 'Brazil to central Mexico' (both Brazil and Mexico are in the Americas). This leaks the geographic scope of the answer.",inaturalist
E-VQA_40,Tetanolita mynesalis,https://en.wikipedia.org/wiki/Tetanolita_mynesalis,templated,test,2764600,What is the wingspan of this insect in mm?,What is the wingspan of this insect in mm?,20–25 mm,The wingspan is 20–25 mm,0,Tetanolita mynesalis|Tetanolita mynesalis|Tetanolita mynesalis,skipped_q_clear,inaturalist
E-VQA_41,Tetanolita mynesalis,https://en.wikipedia.org/wiki/Tetanolita_mynesalis,templated,test,2726620,What does this insect eat?,What does this insect eat?,dead leaves,Larvae probably feed on dead leaves,0,Tetanolita mynesalis|Tetanolita mynesalis|Tetanolita mynesalis,skipped_q_clear,inaturalist
E-VQA_42,Tetanolita mynesalis,https://en.wikipedia.org/wiki/Tetanolita_mynesalis,templated,test,2726598,In which country or region does this insect live?,In which country or region does this insect live?,North America,It is found in eastern North America.,0,Tetanolita mynesalis|Tetanolita mynesalis|Tetanolita mynesalis,"The question asks for a country, but the evidence provides a region (North America) rather than a specific country. This creates ambiguity and may not help retrieve the precise answer from the evidence.",inaturalist
E-VQA_43,Tetanolita mynesalis,https://en.wikipedia.org/wiki/Tetanolita_mynesalis,templated,test,2764600,Where is this insect native?,Which continent is this insect native to?,North America,It is found in eastern North America.,0,Tetanolita mynesalis|Tetanolita mynesalis|Tetanolita mynesalis,"The question 'Where is this insect native to in terms of continent?' is ambiguous because the evidence mentions 'eastern North America', which is a region within a continent. The question could be interpreted as asking for a specific region rather than the continent itself, potentially confusing the model.",inaturalist
E-VQA_44,Tetanolita mynesalis,https://en.wikipedia.org/wiki/Tetanolita_mynesalis,templated,test,2726598,Which period of the year is this insect active?,Which period of the year is this insect active in a typical year?,May to November,Adults are on wing from May to November,0,Tetanolita mynesalis|Tetanolita mynesalis|Tetanolita mynesalis,"The question is clear, does not leak the answer, and directly matches the evidence structure. The evidence explicitly states 'Adults are on wing from May to November', which directly answers the question about the period of activity.",inaturalist
E-VQA_45,Platynota rostrana,https://en.wikipedia.org/wiki/Platynota_rostrana,templated,test,2755426,What is the wingspan of this insect in mm?,What is the wingspan of this insect in mm?,13–17 mm,The wingspan is 13–17 mm,0,Platynota rostrana|Platynota rostrana|Platynota rostrana,skipped_q_clear,inaturalist
E-VQA_46,Agriphila straminella,https://en.wikipedia.org/wiki/Agriphila_straminella,templated,test,2766259,What is the wingspan of this insect in mm?,What is the wingspan of this insect in mm?,16–20 mm,The wingspan is 16–20 mm,0,Agriphila straminella|Agriphila straminella|Agriphila straminella,skipped_q_clear,inaturalist
E-VQA_47,Agriphila straminella,https://en.wikipedia.org/wiki/Agriphila_straminella,templated,test,2762338,What does this insect eat?,What does this insect eat?,grasses,"The larvae feed on various grasses, such as sheep's fescue (Festuca ovina), smooth meadowgrass (Poa pratensis), and wheat (Triticum aestivum).",0,Agriphila straminella|Agriphila straminella|Agriphila straminella,skipped_q_clear,inaturalist
