anchor_data_id,anchor_entity,anchor_wikipedia_url,anchor_entity_type,anchor_question,anchor_answer,anchor_question_type,target_side,method1_pair_entity,method1_pair_data_id,method1_pair_wikipedia_url,method1_pair_type,method1_similarity_basis,method1_composite_layout,method1_query,method1_expected_answer,method2_pair_entity,method2_pair_data_id,method2_pair_wikipedia_url,method2_pair_type,method2_similarity_basis,method2_composite_layout,method2_query,method2_query_with_position,method2_query_without_position,method2_expected_answer,distractor_entity,distractor_wikipedia_url,anchor_image_id,anchor_image_path,method1_pair_image_id,method1_pair_image_path,method2_pair_image_id,method2_pair_image_path,method1_composite_image_path,method2_composite_image_path,method1_image_status,method2_image_status,image_error
infoseek_val_00048894,Dodge Magnum,https://en.wikipedia.org/wiki/Dodge_Magnum,vehicle,What is the brand of this vehicle?,Dodge,String,left,Nissan Juke,infoseek_val_00062943,https://en.wikipedia.org/wiki/Nissan_Juke,vehicle,same_type+same_question,Dodge Magnum(left) + Nissan Juke(right),What is the brand of the vehicle on the left?,Dodge,"Greek Catholic Cathedral, Uzhhorod",infoseek_val_00017440,"https://en.wikipedia.org/wiki/Greek_Catholic_Cathedral,_Uzhhorod",building,different_entity_type+cross_family,"Dodge Magnum(left) + Greek Catholic Cathedral, Uzhhorod(right)",What is the brand of the vehicle on the left?,What is the brand of the vehicle on the left?,What is the brand of this vehicle?,Dodge,"Greek Catholic Cathedral, Uzhhorod","https://en.wikipedia.org/wiki/Greek_Catholic_Cathedral,_Uzhhorod",oven_05010690,images/infoseek/val/oven_05010690.jpg,oven_05010095,images/infoseek/val/oven_05010095.jpg,oven_04958369,images/infoseek/val/oven_04958369.jpg,images/augmented/infoseek/composite_images_full_seed3185/method1/0000_infoseek_val_00048894__m1__infoseek_val_00062943.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0000_infoseek_val_00048894__m2__infoseek_val_00017440.jpg,saved,saved,
infoseek_val_00069426,Menai Suspension Bridge,https://en.wikipedia.org/wiki/Menai_Suspension_Bridge,building,On what date did this building officially open?,30 January 1826,Time,right,Preobrazhensky Metro Bridge,infoseek_val_00006712,https://en.wikipedia.org/wiki/Preobrazhensky_Metro_Bridge,building,same_type+same_question,Menai Suspension Bridge(right) + Preobrazhensky Metro Bridge(left),On what date did the building on the right officially open?,30 January 1826,Heteromeles,infoseek_val_00046550,https://en.wikipedia.org/wiki/Heteromeles,plant,different_entity_type+cross_family,Menai Suspension Bridge(right) + Heteromeles(left),On what date did the building on the right officially open?,On what date did the building on the right officially open?,On what date did this building officially open?,30 January 1826,Heteromeles,https://en.wikipedia.org/wiki/Heteromeles,oven_05026567,images/infoseek/val/oven_05026567.jpg,oven_04955042,images/infoseek/val/oven_04955042.jpg,oven_05028971,images/infoseek/val/oven_05028971.jpg,images/augmented/infoseek/composite_images_full_seed3185/method1/0001_infoseek_val_00069426__m1__infoseek_val_00006712.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0001_infoseek_val_00069426__m2__infoseek_val_00046550.jpg,saved,saved,
infoseek_val_00069103,Port Hercules,https://en.wikipedia.org/wiki/Port_Hercules,building,What country is this building located in?,Monaco,String,left,Kykkos Monastery,infoseek_val_00042868,https://en.wikipedia.org/wiki/Kykkos_Monastery,building,same_type+same_question,Port Hercules(left) + Kykkos Monastery(right),What country is the building on the left located in?,Monaco,Cocoi heron,infoseek_val_00066262,https://en.wikipedia.org/wiki/Cocoi_heron,bird,different_entity_type+cross_family,Port Hercules(left) + Cocoi heron(right),What country is the building on the left located in?,What country is the building on the left located in?,What country is this building located in?,Monaco,Cocoi heron,https://en.wikipedia.org/wiki/Cocoi_heron,oven_05017870,images/infoseek/val/oven_05017870.jpg,oven_05021057,images/infoseek/val/oven_05021057.jpg,oven_05038101,images/infoseek/val/oven_05038101.jpg,images/augmented/infoseek/composite_images_full_seed3185/method1/0002_infoseek_val_00069103__m1__infoseek_val_00042868.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0002_infoseek_val_00069103__m2__infoseek_val_00066262.jpg,saved,saved,
infoseek_val_00006573,Ctenucha virginica,https://en.wikipedia.org/wiki/Ctenucha_virginica,insect,What is the range of the wingspan in millimeters for this insect?,40–50,Numerical,right,Trithemis annulata,infoseek_val_00015402,https://en.wikipedia.org/wiki/Trithemis_annulata,insect,same_type,Ctenucha virginica(right) + Trithemis annulata(left),What is the range of the wingspan in millimeters for the insect on the right?,40–50,Biokovo,infoseek_val_00007829,https://en.wikipedia.org/wiki/Biokovo,mountain,different_entity_type+cross_family,Ctenucha virginica(right) + Biokovo(left),What is the range of the wingspan in millimeters for the insect on the right?,What is the range of the wingspan in millimeters for the insect on the right?,What is the range of the wingspan in millimeters for this insect?,40–50,Biokovo,https://en.wikipedia.org/wiki/Biokovo,oven_04965996,images/infoseek/val/oven_04965996.jpg,oven_04973653,images/infoseek/val/oven_04973653.jpg,oven_04957095,images/infoseek/val/oven_04957095.jpg,images/augmented/infoseek/composite_images_full_seed3185/method1/0003_infoseek_val_00006573__m1__infoseek_val_00015402.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0003_infoseek_val_00006573__m2__infoseek_val_00007829.jpg,saved,saved,
infoseek_val_00059027,Phalangium opilio,https://en.wikipedia.org/wiki/Phalangium_opilio,insect,"What is the closest upper taxonomic rank of this insect, such as order, family, or class?",Opiliones,String,left,Ceratomia catalpae,infoseek_val_00063893,https://en.wikipedia.org/wiki/Ceratomia_catalpae,insect,same_type+same_question,Phalangium opilio(left) + Ceratomia catalpae(right),"What is the closest upper taxonomic rank of the insect on the left, such as order, family, or class?",Opiliones,Dodge Dakota,infoseek_val_00017166,https://en.wikipedia.org/wiki/Dodge_Dakota,vehicle,different_entity_type+cross_family,Phalangium opilio(left) + Dodge Dakota(right),"What is the closest upper taxonomic rank of the insect on the left, such as order, family, or class?","What is the closest upper taxonomic rank of the insect on the left, such as order, family, or class?","What is the closest upper taxonomic rank of this insect, such as order, family, or class?",Opiliones,Dodge Dakota,https://en.wikipedia.org/wiki/Dodge_Dakota,oven_05034303,images/infoseek/val/oven_05034303.jpg,oven_05041291,images/infoseek/val/oven_05041291.jpg,oven_04950583,images/infoseek/val/oven_04950583.jpg,images/augmented/infoseek/composite_images_full_seed3185/method1/0004_infoseek_val_00059027__m1__infoseek_val_00063893.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0004_infoseek_val_00059027__m2__infoseek_val_00017166.jpg,saved,saved,
infoseek_val_00022458,Cabo da Roca Lighthouse,https://en.wikipedia.org/wiki/Cabo_da_Roca_Lighthouse,building,Which geographic feature is this building situated on?,a promontory,String,right,"St. Andrew's Church, Kraków",infoseek_val_00042587,"https://en.wikipedia.org/wiki/St._Andrew%27s_Church,_Krak%C3%B3w",building,same_type,"Cabo da Roca Lighthouse(right) + St. Andrew's Church, Kraków(left)",Which geographic feature is the building on the right situated on?,a promontory,Gray fox,infoseek_val_00000783,https://en.wikipedia.org/wiki/Gray_fox,animal,different_entity_type+cross_family,Cabo da Roca Lighthouse(right) + Gray fox(left),Which geographic feature is the building on the right situated on?,Which geographic feature is the building on the right situated on?,Which geographic feature is this building situated on?,a promontory,Gray fox,https://en.wikipedia.org/wiki/Gray_fox,oven_05019944,images/infoseek/val/oven_05019944.jpg,oven_05025167,images/infoseek/val/oven_05025167.jpg,oven_04972324,images/infoseek/val/oven_04972324.JPEG,images/augmented/infoseek/composite_images_full_seed3185/method1/0005_infoseek_val_00022458__m1__infoseek_val_00042587.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0005_infoseek_val_00022458__m2__infoseek_val_00000783.jpg,saved,saved,
infoseek_val_00057750,Chinese mystery snail,https://en.wikipedia.org/wiki/Chinese_mystery_snail,animal,What is the genus or subgenus classification of this animal?,Cipangopaludina is a subgenus of Bellamya,String,left,Crotalus viridis,infoseek_val_00004287,https://en.wikipedia.org/wiki/Crotalus_viridis,animal,same_type,Chinese mystery snail(left) + Crotalus viridis(right),What is the genus or subgenus classification of the animal on the left?,Cipangopaludina is a subgenus of Bellamya,George Washington Bridge,infoseek_val_00010303,https://en.wikipedia.org/wiki/George_Washington_Bridge,bridge,different_entity_type+cross_family,Chinese mystery snail(left) + George Washington Bridge(right),What is the genus or subgenus classification of the animal on the left?,What is the genus or subgenus classification of the animal on the left?,What is the genus or subgenus classification of this animal?,Cipangopaludina is a subgenus of Bellamya,George Washington Bridge,https://en.wikipedia.org/wiki/George_Washington_Bridge,oven_05030323,images/infoseek/val/oven_05030323.jpg,oven_04962070,images/infoseek/val/oven_04962070.JPEG,oven_04954118,images/infoseek/val/oven_04954118.jpg,images/augmented/infoseek/composite_images_full_seed3185/method1/0006_infoseek_val_00057750__m1__infoseek_val_00004287.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0006_infoseek_val_00057750__m2__infoseek_val_00010303.jpg,saved,saved,
infoseek_val_00046373,Hermetia illucens,https://en.wikipedia.org/wiki/Hermetia_illucens,insect,What is the genus of this insect?,Hermetia,String,right,Ochlodes agricola,infoseek_val_00063128,https://en.wikipedia.org/wiki/Ochlodes_agricola,insect,same_type+same_question,Hermetia illucens(right) + Ochlodes agricola(left),What is the genus of the insect on the right?,Hermetia,Embraer EMB 120 Brasilia,infoseek_val_00064793,https://en.wikipedia.org/wiki/Embraer_EMB_120_Brasilia,aircraft,different_entity_type+cross_family,Hermetia illucens(right) + Embraer EMB 120 Brasilia(left),What is the genus of the insect on the right?,What is the genus of the insect on the right?,What is the genus of this insect?,Hermetia,Embraer EMB 120 Brasilia,https://en.wikipedia.org/wiki/Embraer_EMB_120_Brasilia,oven_05034593,images/infoseek/val/oven_05034593.jpg,oven_05033872,images/infoseek/val/oven_05033872.jpg,oven_05009686,images/infoseek/val/oven_05009686.jpg,images/augmented/infoseek/composite_images_full_seed3185/method1/0007_infoseek_val_00046373__m1__infoseek_val_00063128.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0007_infoseek_val_00046373__m2__infoseek_val_00064793.jpg,saved,saved,
infoseek_val_00020861,Chestnut-backed chickadee,https://en.wikipedia.org/wiki/Chestnut-backed_chickadee,bird,What is the closest parent taxonomy of this bird?,Poecile,String,left,Diving duck,infoseek_val_00038594,https://en.wikipedia.org/wiki/Diving_duck,bird,same_type+same_question,Chestnut-backed chickadee(left) + Diving duck(right),What is the closest parent taxonomy of the bird on the left?,Poecile,Dead Sea,infoseek_val_00009273,https://en.wikipedia.org/wiki/Dead_Sea,lake,different_entity_type+cross_family,Chestnut-backed chickadee(left) + Dead Sea(right),What is the closest parent taxonomy of the bird on the left?,What is the closest parent taxonomy of the bird on the left?,What is the closest parent taxonomy of this bird?,Poecile,Dead Sea,https://en.wikipedia.org/wiki/Dead_Sea,oven_05044004,images/infoseek/val/oven_05044004.jpg,oven_05048357,images/infoseek/val/oven_05048357.JPEG,oven_04957534,images/infoseek/val/oven_04957534.jpg,images/augmented/infoseek/composite_images_full_seed3185/method1/0008_infoseek_val_00020861__m1__infoseek_val_00038594.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0008_infoseek_val_00020861__m2__infoseek_val_00009273.jpg,saved,saved,
infoseek_val_00056722,Fish,https://en.wikipedia.org/wiki/Fish,animal,What is the nearest higher taxonomic rank of this animal?,Infraphylum Gnathostomata,String,right,Cheetah,infoseek_val_00014686,https://en.wikipedia.org/wiki/Cheetah,animal,same_type,Fish(right) + Cheetah(left),What is the nearest higher taxonomic rank of the animal on the right?,Infraphylum Gnathostomata,Shrimp and grits,infoseek_val_00032616,https://en.wikipedia.org/wiki/Shrimp_and_grits,food,different_entity_type+cross_family,Fish(right) + Shrimp and grits(left),What is the nearest higher taxonomic rank of the animal on the right?,What is the nearest higher taxonomic rank of the animal on the right?,What is the nearest higher taxonomic rank of this animal?,Infraphylum Gnathostomata,Shrimp and grits,https://en.wikipedia.org/wiki/Shrimp_and_grits,oven_04945837,images/infoseek/val/oven_04945837.JPEG,oven_04971863,images/infoseek/val/oven_04971863.JPEG,oven_05027527,images/infoseek/val/oven_05027527.jpg,images/augmented/infoseek/composite_images_full_seed3185/method1/0009_infoseek_val_00056722__m1__infoseek_val_00014686.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0009_infoseek_val_00056722__m2__infoseek_val_00032616.jpg,saved,saved,
