data_id,wikipedia_title,wikipedia_url,question_original,dataset_image_ids,question,answer,final_evidence,evidence,evidence_section_id,evidence_section_title,question_type,final_check_tag,final_check_reason,final_model
infoseek_val_00013723,Église Notre-Dame de Calais,https://en.wikipedia.org/wiki/%C3%89glise_Notre-Dame_de_Calais,What country does this building belong to?,oven_04955907,Which country is this building located in?,France,"Église Notre-Dame (""The Church of Our Lady"") is a Roman Catholic parish church located on Rue de la Paix, in Calais, department of Pas-de-Calais, in northern France. The church was damaged during the early wars between France and England, especially in 1346-47, after the Battle of Crécy.","Église Notre-Dame (""The Church of Our Lady"") is a Roman Catholic parish church located on Rue de la Paix, in Calais, department of Pas-de-Calais, in northern France. The church was damaged during the early wars between France and England, especially in 1346-47, after the Battle of Crécy.",0|1,Église Notre-Dame de Calais|History,String,OK,"The final_answer 'France' is directly supported by the evidence text. The question is a String type, and 'France' is the shortest exact phrase that answers it. The question does not leak the target entity (uses 'this building'), and no revisions are needed.",deepseek-chat
infoseek_val_00002934,Ćelije Monastery,https://en.wikipedia.org/wiki/%C4%86elije_Monastery,What country does this building belong to?,oven_04951596,What country is this building located in?,Serbia,"It is best known by being the monastery of saint Justin Popović, (1894–1979), who was canonized by the Serbian Orthodox Church in 2010. Čelije Monastery was declared Monument of Culture of Great Importance in 1979, and it is protected by Republic of Serbia. The monastery is believed to have been founded by Serbian king ...","It is best known by being the monastery of saint Justin Popović, (1894–1979), who was canonized by the Serbian Orthodox Church in 2010. Čelije Monastery was declared Monument of Culture of Great Importance in 1979, and it is protected by Republic of Serbia. The monastery is believed to have been founded by Serbian king ...",0|2|3|5|7|8|9|10,Ćelije Monastery|History|Ottoman period and liberated Serbia|Present day|Pilgrimage site|See also|External links|References,String,OK,"The final_answer 'Serbia' is directly supported by the evidence text ('protected by Republic of Serbia'). The question type is String, and 'Serbia' is the shortest exact phrase that answers the question. The question does not leak the target entity (uses 'this building'), and no revisions are needed.",deepseek-chat
infoseek_val_00060553,Žiča,https://en.wikipedia.org/wiki/%C5%BDi%C4%8Da,Who is the founder of the building in the image?,oven_05017056,Who is the king credited as a founder of this building?,King Stefan Prvovenčani,"The monastery was founded by King Stefan Prvovenčani and Saint Sava, in the Rascian architectural style, between 1208 and 1230, with the help of Greek masters.","The monastery was founded by King Stefan Prvovenčani and Saint Sava, in the Rascian architectural style, between 1208 and 1230, with the help of Greek masters.",0|3|4,Žiča|Foundation|History,String,Needs_revision,1) The original final_answer 'Stefan the First-Crowned' is not an exact phrase found in the evidence. The evidence contains 'King Stefan Prvovenčani' (which is the Serbian name for Stefan the First-Crowned) as the shortest exact phrase answering the question. 2) The final_question contained 'the building in the image' which leaks the target entity 'Žiča' (a monastery). It has been rewritten to use 'this building' to avoid entity leakage while preserving meaning. 3) Evidence has been narrowed to the single most relevant supporting snippet.,deepseek-chat
infoseek_val_00039595,30 St Mary Axe,https://en.wikipedia.org/wiki/30_St_Mary_Axe,Who occupies this building?,oven_05021981,Who occupies this building?,Swiss Re,"30 St Mary Axe (previously known as the Swiss Re Building and informally known as the Gherkin) is a commercial skyscraper in London's primary financial district, the City of London. The primary occupant of the building is Swiss Re, a global reinsurance company, which had the building commissioned as the head office for ...","30 St Mary Axe (previously known as the Swiss Re Building and informally known as the Gherkin) is a commercial skyscraper in London's primary financial district, the City of London. The primary occupant of the building is Swiss Re, a global reinsurance company, which had the building commissioned as the head office for ...",0|3,30 St Mary Axe|Design and Construction,String,OK,"The final_answer 'Swiss Re' is the shortest exact phrase found in the evidence that directly answers the question. The evidence clearly states 'The primary occupant of the building is Swiss Re'. No revision is needed as all requirements are satisfied: answer is supported, question type is String, and question does not leak the target entity.",deepseek-chat
infoseek_val_00021014,30 St Mary Axe,https://en.wikipedia.org/wiki/30_St_Mary_Axe,How many levels does this building have?,oven_05022006,How many levels does this building have?,41,"With 41 floors, it is 180 metres (591 ft) tall and stands on the sites of the former Baltic Exchange and Chamber of Shipping, which were extensively damaged in 1992 in the Baltic Exchange bombing by a device placed by the Provisional IRA in St Mary Axe, a narrow street leading north from Leadenhall Street. On the build ...","With 41 floors, it is 180 metres (591 ft) tall and stands on the sites of the former Baltic Exchange and Chamber of Shipping, which were extensively damaged in 1992 in the Baltic Exchange bombing by a device placed by the Provisional IRA in St Mary Axe, a narrow street leading north from Leadenhall Street. On the build ...",0|3,30 St Mary Axe|Design and Construction,Numerical,OK,"The final_answer '41' is directly supported by the evidence text ('41 floors'). The question type is Numerical and expects a single value, which is provided. The question does not leak the target entity (uses 'this building'). No revisions are needed.",deepseek-chat
infoseek_val_00065834,30 St Mary Axe,https://en.wikipedia.org/wiki/30_St_Mary_Axe,In which year did this building officially open?,oven_05021974,In which year did this building officially open?,2004,It was completed in December 2003 and opened in April 2004.,It was completed in December 2003 and opened in April 2004.,0|3,30 St Mary Axe|Design and Construction,Time,Needs_revision,"Evidence contains conflicting dates (April 2004 vs 28 April 2004). Selected the shortest consistent snippet that supports the answer. The question asks for a year, and both evidence snippets agree on 2004, so answer remains valid.",deepseek-chat
infoseek_val_00025387,ATR 72,https://en.wikipedia.org/wiki/ATR_72,Which company manufactures this aircraft?,oven_05009992,Which company manufactures this aircraft?,ATR,"The ATR 72 is a twin-engine turboprop, short-haul regional airliner developed and produced in France and Italy by aircraft manufacturer ATR (French: Avions de transport régional or Italian: Aerei da Trasporto Regionale), a joint venture formed by French aerospace company Aérospatiale (now Airbus) and Italian aviation c ...","The ATR 72 is a twin-engine turboprop, short-haul regional airliner developed and produced in France and Italy by aircraft manufacturer ATR (French: Avions de transport régional or Italian: Aerei da Trasporto Regionale), a joint venture formed by French aerospace company Aérospatiale (now Airbus) and Italian aviation c ...",0|2|3|4|5|6|7|8|9|12|15|17|18|19|21|23|24|25|27|28,ATR 72|Origins|Further development|Design|Operational history|Iran Air|Turkish Navy|Italian Air Force|Guardia di Finanza|Germany|ATR 72-200|ATR 72-212A|ATR 72MP|Other versions|Civilian operations|Accidents and incidents|Specifications (ATR 72-600)|See also|Citations|External links,String,OK,"The final_answer 'ATR' is directly supported by the evidence text, which explicitly states the aircraft is produced by 'aircraft manufacturer ATR'. The question is properly phrased without leaking the target entity, and the evidence snippet clearly answers the question.",deepseek-chat
infoseek_val_00048587,ATR 72,https://en.wikipedia.org/wiki/ATR_72,What is the total quantity of produced items for this type of aircraft?,oven_05010002,What is the total number of orders received for this type of aircraft by the end of 2014?,"1,000","By the end of 2014, ATR had received 1,000 orders for the type and delivered a total of 754, leaving a backlog of 246 aircraft.","By the end of 2014, ATR had received 1,000 orders for the type and delivered a total of 754, leaving a backlog of 246 aircraft.",2|6|10|27,Origins|Iran Air|FedEx Express|Citations,Numerical,Needs_revision,"The evidence contains multiple conflicting facts about orders (1,000 by end of 2014 vs. 231 backlog for -600s vs. 1,000th delivery in 2018). The question asks for 'total number of orders received' without temporal specificity, but the evidence provides different numbers at different times. Selected the clearest, most specific supporting snippet (1,000 orders by end of 2014) and revised the question to match that temporal context. Kept the numerical value exactly as it appears in evidence ('1,000' with comma).",deepseek-chat
infoseek_val_00052110,ATR 72,https://en.wikipedia.org/wiki/ATR_72,what was the date this aircraft enter into service?,oven_05009995,When did this aircraft begin service?,27 October 1989,"On 27 October 1989, Finnish airline Finnair became the first airline to operate the type in revenue service.","On 27 October 1989, Finnish airline Finnair became the first airline to operate the type in revenue service.",0|2,ATR 72|Origins,Time,Needs_revision,"The evidence provides a specific date (27 October 1989) for when the aircraft entered service, not just year and month. The original final_answer '1989 10 27' is not an exact match to the evidence text format. Revised to use the exact date format from evidence. Also consolidated evidence to a single supporting snippet.",deepseek-chat
infoseek_val_00017068,Aare Gorge,https://en.wikipedia.org/wiki/Aare_Gorge,What country does this place belong to?,oven_04957374,What country does this place belong to?,Switzerland,"The Aare Gorge (German: Aareschlucht) is a section of the river Aare that carves through a limestone ridge near the town of Meiringen, in the Bernese Oberland region of Switzerland.","The Aare Gorge (German: Aareschlucht) is a section of the river Aare that carves through a limestone ridge near the town of Meiringen, in the Bernese Oberland region of Switzerland.",0|1,Aare Gorge|References,String,Needs_revision,Evidence supports answer 'Switzerland'. Final_question revised to original wording to avoid calling it a 'city' (it's a gorge). Evidence trimmed to remove map citation not needed for answer.,deepseek-chat
infoseek_val_00039344,"Abbey of Saint-Georges, Boscherville","https://en.wikipedia.org/wiki/Abbey_of_Saint-Georges,_Boscherville",What country does this building belong to?,oven_05012991,Which country is this building located in?,France,"The Abbey of Saint-Georges, Boscherville, is a former Benedictine abbey located in the commune of Saint-Martin-de-Boscherville, in Seine-Maritime, France.","The Abbey of Saint-Georges, Boscherville, is a former Benedictine abbey located in the commune of Saint-Martin-de-Boscherville, in Seine-Maritime, France.",0,"Abbey of Saint-Georges, Boscherville",String,OK,"The final_answer 'France' is the shortest exact phrase from the evidence that answers the question. The question does not leak the target entity, and the evidence clearly supports the answer.",deepseek-chat
